Absolute Time,eta_hat_psi,eta_hat_x,eta_hat_y,eta_mpsi,eta_mx,eta_my, eta_tilde_psi, eta_tilde_x, eta_tilde_y,nu_psi_hat, nu_x_hat, nu_y_hat
3572761130.504580,-0.063125,1.155416,0.072127,-0.017151,1.268053,0.077102,0.045974,0.112637,0.004974,-0.192960,0.163849,0.502618
3572761130.514575,-0.062763,1.167786,0.077359,-0.047570,1.216258,-0.075737,0.015194,0.048472,-0.153096,-0.192600,0.165828,0.503147
3572761130.524582,-0.063903,1.174207,0.067491,0.070222,1.296855,0.189884,0.134124,0.122649,0.122393,-0.192986,0.166686,0.501904
3572761130.534581,-0.059228,1.187138,0.084023,-0.127646,1.380577,0.044322,-0.068418,0.193439,-0.039701,-0.189772,0.169447,0.503523
3572761130.544581,-0.064434,1.207770,0.084793,-0.068199,1.272510,0.014395,-0.003764,0.064740,-0.070398,-0.193512,0.172297,0.503930
3572761130.554583,-0.066512,1.215898,0.082765,-0.135123,1.298970,0.183202,-0.068611,0.083071,0.100438,-0.194845,0.173278,0.503683
3572761130.564582,-0.071779,1.226087,0.096858,-0.278928,1.106021,-0.045510,-0.207149,-0.120066,-0.142368,-0.198893,0.173876,0.505550
3572761130.574582,-0.083863,1.217563,0.087477,-0.086249,1.196452,-0.121842,-0.002386,-0.021111,-0.209319,-0.207164,0.171199,0.504300
3572761130.584584,-0.086004,1.217587,0.072190,-0.056013,1.149676,-0.086914,0.029991,-0.067911,-0.159104,-0.208022,0.170758,0.502450
3572761130.594582,-0.086570,1.213008,0.061726,-0.043429,1.195174,-0.030616,0.043140,-0.017834,-0.092342,-0.207819,0.169528,0.501139
3572761130.604583,-0.086490,1.213128,0.057631,-0.074699,1.344661,0.077529,0.011791,0.131533,0.019899,-0.207293,0.169134,0.500629
3572761130.614577,-0.087941,1.227615,0.064159,-0.182923,1.228720,-0.074925,-0.094981,0.001105,-0.139084,-0.208174,0.171017,0.501575
3572761130.624584,-0.094626,1.230186,0.055317,0.051901,1.264878,0.020240,0.146526,0.034692,-0.035077,-0.212460,0.170557,0.500724
3572761130.634583,-0.089532,1.234865,0.056822,-0.020056,1.153749,0.032568,0.069475,-0.081116,-0.024254,-0.208379,0.171433,0.500723
3572761130.644585,-0.088169,1.228866,0.059246,-0.142467,1.286182,-0.074344,-0.054297,0.057316,-0.133591,-0.207071,0.170029,0.500950
3572761130.654584,-0.092851,1.236601,0.051019,0.074947,1.380200,0.052973,0.167798,0.143599,0.001954,-0.209926,0.170637,0.500201
3572761130.664585,-0.086692,1.251544,0.056075,0.024951,1.340545,-0.000015,0.111643,0.089001,-0.056091,-0.205161,0.173534,0.500476
3572761130.674584,-0.083234,1.261554,0.055539,-0.083195,1.412398,0.061993,0.000039,0.150845,0.006454,-0.202327,0.175259,0.500254
3572761130.684586,-0.085212,1.277977,0.060762,0.097571,1.284374,0.138451,0.182783,0.006397,0.077689,-0.203675,0.177489,0.501076
3572761130.694585,-0.078260,1.279806,0.073071,-0.075044,1.223270,0.087464,0.003215,-0.056536,0.014393,-0.198666,0.178352,0.502255
3572761130.704587,-0.080047,1.276471,0.079084,-0.114279,1.280113,-0.058780,-0.034232,0.003642,-0.137863,-0.199905,0.177124,0.502915
3572761130.714580,-0.083677,1.279037,0.070522,-0.038845,1.313208,0.141710,0.044832,0.034171,0.071188,-0.202114,0.176983,0.501933
3572761130.724587,-0.083462,1.284160,0.082010,0.031202,1.507190,0.052783,0.114664,0.223030,-0.029227,-0.201988,0.177434,0.503269
3572761130.734587,-0.079825,1.306942,0.084069,0.041917,1.197410,0.005914,0.121742,-0.109532,-0.078155,-0.199154,0.181501,0.503225
3572761130.744587,-0.075815,1.298036,0.081486,-0.112975,1.222014,0.017317,-0.037160,-0.076023,-0.064169,-0.196003,0.179956,0.502727
3572761130.754586,-0.079551,1.293035,0.079940,-0.026833,1.249916,-0.124383,0.052719,-0.043119,-0.204323,-0.198488,0.178363,0.502467
3572761130.764589,-0.078911,1.290753,0.065221,-0.118090,1.245869,0.075811,-0.039179,-0.044884,0.010590,-0.197439,0.177737,0.500573
3572761130.774588,-0.082761,1.288717,0.070764,-0.034269,1.435421,0.068202,0.048492,0.146704,-0.002562,-0.200129,0.176491,0.501246
3572761130.784587,-0.082346,1.304532,0.075232,-0.121489,1.388322,0.021838,-0.039143,0.083790,-0.053394,-0.199692,0.178947,0.501770
