L2_continuous,PosXRight,R2_continuous,alpha_VSP1,u_BT,u_VSP1,PosYRight,Absolute Time
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.427500
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.437500
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.447501
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.457502
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.467502
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.477501
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.487501
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.497502
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.507501
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.517503
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.527503
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.537503
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.547503
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.557503
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.567503
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.577503
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.587505
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.597504
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.607504
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.617505
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.627505
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.637506
-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,3569200139.647508
