u_in,u_hat, u_tilde,Absolute Time
0.363681,0.364612,-0.001305,3571909998.801363
0.364053,0.364984,-0.001303,3571909998.811363
0.364426,0.365355,-0.001302,3571909998.821363
0.364798,0.365726,-0.001300,3571909998.831365
0.365169,0.366096,-0.001299,3571909998.841362
0.365540,0.366466,-0.001297,3571909998.851364
0.365911,0.366836,-0.001296,3571909998.861361
0.366281,0.367205,-0.001294,3571909998.871365
0.366651,0.367574,-0.001293,3571909998.881366
0.367021,0.367943,-0.001291,3571909998.891366
0.367390,0.368311,-0.001290,3571909998.901366
0.367758,0.368678,-0.001288,3571909998.911366
0.368127,0.369045,-0.001287,3571909998.921367
0.368494,0.369412,-0.001285,3571909998.931366
0.368862,0.369778,-0.001284,3571909998.941367
0.369229,0.370144,-0.001282,3571909998.951368
0.369595,0.370509,-0.001281,3571909998.961364
0.369961,0.370874,-0.001279,3571909998.971369
0.370327,0.371239,-0.001278,3571909998.981368
0.370692,0.371603,-0.001276,3571909998.991368
0.371057,0.371967,-0.001275,3571909999.001368
0.371421,0.372330,-0.001273,3571909999.011370
0.371785,0.372693,-0.001272,3571909999.021369
0.372149,0.373055,-0.001270,3571909999.031369
0.372512,0.373417,-0.001269,3571909999.041370
0.372874,0.373779,-0.001267,3571909999.051371
0.373236,0.374140,-0.001266,3571909999.061367
0.373598,0.374501,-0.001264,3571909999.071371
0.373960,0.374861,-0.001263,3571909999.081370
0.374321,0.375221,-0.001261,3571909999.091372
0.374681,0.375581,-0.001260,3571909999.101372
0.375041,0.375940,-0.001258,3571909999.111372
0.375401,0.376298,-0.001257,3571909999.121372
0.375760,0.376656,-0.001256,3571909999.131373
0.376119,0.377014,-0.001254,3571909999.141372
0.376477,0.377372,-0.001253,3571909999.151373
0.376835,0.377728,-0.001251,3571909999.161369
0.377193,0.378085,-0.001250,3571909999.171372
0.377550,0.378441,-0.001248,3571909999.181374
0.377907,0.378797,-0.001247,3571909999.191376
0.378263,0.379152,-0.001245,3571909999.201374
0.378619,0.379507,-0.001244,3571909999.211375
0.378974,0.379861,-0.001242,3571909999.221375
0.379329,0.380215,-0.001241,3571909999.231374
0.379684,0.380568,-0.001239,3571909999.241374
0.380038,0.380921,-0.001238,3571909999.251377
0.380392,0.381274,-0.001236,3571909999.261373
0.380745,0.381626,-0.001235,3571909999.271376
0.381098,0.381978,-0.001233,3571909999.281377
0.381450,0.382329,-0.001232,3571909999.291377
0.381802,0.382680,-0.001230,3571909999.301377
0.382154,0.383031,-0.001229,3571909999.311378
0.382505,0.383381,-0.001227,3571909999.321377
0.382856,0.383730,-0.001226,3571909999.331378
0.383206,0.384080,-0.001224,3571909999.341378
0.383556,0.384428,-0.001223,3571909999.351378
0.383905,0.384777,-0.001221,3571909999.361375
0.384254,0.385125,-0.001220,3571909999.371380
0.384603,0.385472,-0.001218,3571909999.381380
0.384951,0.385819,-0.001217,3571909999.391379
0.385298,0.386166,-0.001215,3571909999.401381
0.385646,0.386512,-0.001214,3571909999.411380
0.385993,0.386858,-0.001212,3571909999.421380
0.386339,0.387203,-0.001211,3571909999.431383
0.386685,0.387548,-0.001209,3571909999.441380
0.387031,0.387893,-0.001208,3571909999.451382
0.387376,0.388237,-0.001206,3571909999.461378
0.387720,0.388580,-0.001205,3571909999.471381
0.388065,0.388924,-0.001203,3571909999.481383
0.388409,0.389266,-0.001202,3571909999.491384
0.388752,0.389609,-0.001200,3571909999.501382
0.389095,0.389951,-0.001199,3571909999.511384
0.389438,0.390292,-0.001197,3571909999.521384
0.389780,0.390633,-0.001196,3571909999.531383
0.390121,0.390974,-0.001194,3571909999.541382
0.390463,0.391314,-0.001193,3571909999.551385
0.390804,0.391654,-0.001191,3571909999.561381
0.391144,0.391993,-0.001190,3571909999.571384
0.391484,0.392332,-0.001188,3571909999.581385
0.391824,0.392671,-0.001187,3571909999.591385
0.392163,0.393009,-0.001185,3571909999.601385
0.392501,0.393346,-0.001184,3571909999.611387
0.392840,0.393684,-0.001182,3571909999.621387
0.393178,0.394020,-0.001181,3571909999.631387
0.393515,0.394357,-0.001179,3571909999.641387
0.393852,0.394693,-0.001178,3571909999.651387
0.394189,0.395028,-0.001176,3571909999.661384
0.394525,0.395363,-0.001175,3571909999.671389
0.394860,0.395698,-0.001173,3571909999.681389
0.395196,0.396032,-0.001172,3571909999.691388
0.395531,0.396366,-0.001170,3571909999.701389
0.395865,0.396699,-0.001169,3571909999.711389
0.396199,0.397032,-0.001167,3571909999.721388
0.396533,0.397365,-0.001166,3571909999.731390
0.396866,0.397697,-0.001164,3571909999.741389
0.397198,0.398028,-0.001163,3571909999.751389
0.397531,0.398359,-0.001161,3571909999.761386
0.397863,0.398690,-0.001160,3571909999.771390
0.398194,0.399021,-0.001158,3571909999.781391
0.398525,0.399351,-0.001157,3571909999.791392
0.398855,0.399680,-0.001155,3571909999.801391
0.399186,0.400009,-0.001154,3571909999.811391
0.399515,0.400338,-0.001152,3571909999.821393
0.399845,0.400666,-0.001151,3571909999.831391
0.400173,0.400994,-0.001149,3571909999.841393
0.400502,0.401321,-0.001148,3571909999.851394
0.400830,0.401648,-0.001146,3571909999.861389
0.401157,0.401974,-0.001145,3571909999.871393
0.401485,0.402300,-0.001143,3571909999.881393
0.401811,0.402626,-0.001142,3571909999.891393
0.402138,0.402951,-0.001140,3571909999.901394
0.402463,0.403276,-0.001139,3571909999.911396
0.402789,0.403600,-0.001137,3571909999.921394
0.403114,0.403924,-0.001136,3571909999.931395
0.403438,0.404248,-0.001134,3571909999.941396
