u_in,u_hat, u_tilde,Absolute Time
0.533084,0.456928,0.076054,3571912761.915245
0.533186,0.457169,0.075915,3571912761.925241
0.533288,0.457410,0.075776,3571912761.935244
0.533389,0.457650,0.075637,3571912761.945245
0.533489,0.457890,0.075499,3571912761.955245
0.533589,0.458129,0.075360,3571912761.965246
0.533689,0.458367,0.075222,3571912761.975246
0.533788,0.458604,0.075084,3571912761.985247
0.533886,0.458841,0.074946,3571912761.995245
0.533984,0.459077,0.074809,3571912762.005247
0.534082,0.459313,0.074671,3571912762.015247
0.534179,0.459548,0.074534,3571912762.025243
0.534275,0.459782,0.074397,3571912762.035248
0.534371,0.460015,0.074261,3571912762.045248
0.534467,0.460247,0.074124,3571912762.055249
0.534562,0.460479,0.073988,3571912762.065248
0.534656,0.460710,0.073851,3571912762.075248
0.534750,0.460941,0.073716,3571912762.085248
0.534843,0.461170,0.073580,3571912762.095249
0.534936,0.461399,0.073444,3571912762.105250
0.535028,0.461627,0.073309,3571912762.115250
0.535120,0.461854,0.073174,3571912762.125247
0.535211,0.462081,0.073039,3571912762.135251
0.535301,0.462307,0.072904,3571912762.145251
0.535391,0.462532,0.072770,3571912762.155251
0.535480,0.462756,0.072635,3571912762.165252
0.535569,0.462979,0.072501,3571912762.175252
0.535657,0.463202,0.072367,3571912762.185252
0.535744,0.463423,0.072234,3571912762.195251
0.535831,0.463644,0.072100,3571912762.205252
0.535917,0.463864,0.071967,3571912762.215252
0.536003,0.464084,0.071834,3571912762.225250
0.536088,0.464302,0.071701,3571912762.235253
0.536172,0.464520,0.071568,3571912762.245253
0.536256,0.464736,0.071436,3571912762.255254
0.536339,0.464952,0.071303,3571912762.265254
0.536421,0.465167,0.071171,3571912762.275252
0.536503,0.465382,0.071039,3571912762.285254
0.536584,0.465595,0.070908,3571912762.295254
0.536664,0.465807,0.070776,3571912762.305255
0.536744,0.466019,0.070645,3571912762.315256
0.536823,0.466230,0.070514,3571912762.325253
0.536901,2.817645,-2.280822,3571912762.335256
0.536978,0.418329,0.118572,3571912762.345256
0.537055,0.418611,0.118367,3571912762.355257
0.537131,0.418892,0.118163,3571912762.365257
0.537207,0.419172,0.117959,3571912762.375257
0.537282,0.419451,0.117756,3571912762.385257
0.537356,0.419729,0.117552,3571912762.395257
0.537429,0.420006,0.117349,3571912762.405260
0.537502,0.420283,0.117147,3571912762.415258
0.537574,0.420558,0.116944,3571912762.425254
0.537645,0.420832,0.116742,3571912762.435258
0.537715,0.421105,0.116540,3571912762.445259
0.537785,0.421377,0.116338,3571912762.455259
0.537854,0.421649,0.116136,3571912762.465260
0.537922,0.421919,0.115935,3571912762.475260
0.537989,0.422188,0.115734,3571912762.485260
0.538056,0.422456,0.115533,3571912762.495260
0.538122,0.422723,0.115333,3571912762.505261
0.538187,0.422989,0.115133,3571912762.515261
0.538251,0.423255,0.114933,3571912762.525258
0.538315,0.423519,0.114733,3571912762.535262
0.538378,0.423782,0.114533,3571912762.545262
0.538440,0.424044,0.114334,3571912762.555262
0.538501,0.424305,0.114135,3571912762.565263
0.538561,0.424565,0.113936,3571912762.575263
0.538621,0.424823,0.113738,3571912762.585264
0.538680,0.425081,0.113540,3571912762.595263
0.538738,0.425338,0.113342,3571912762.605264
0.538795,0.425594,0.113144,3571912762.615264
0.538852,0.425848,0.112947,3571912762.625259
0.538907,0.426102,0.112750,3571912762.635265
0.538962,0.426354,0.112553,3571912762.645266
0.539016,0.426606,0.112356,3571912762.655265
0.539069,0.426856,0.112160,3571912762.665265
0.539121,0.427105,0.111964,3571912762.675265
0.539173,0.427353,0.111768,3571912762.685266
0.539224,0.427600,0.111573,3571912762.695266
0.539273,0.427846,0.111377,3571912762.705266
0.539322,0.428091,0.111182,3571912762.715267
0.539370,0.428335,0.110988,3571912762.725263
0.539418,0.428577,0.110793,3571912762.735268
0.539464,0.428819,0.110599,3571912762.745268
0.539510,0.429059,0.110405,3571912762.755268
0.539554,0.429298,0.110211,3571912762.765270
0.539598,0.429537,0.110018,3571912762.775269
0.539641,0.429774,0.109825,3571912762.785270
0.539683,0.430009,0.109632,3571912762.795268
0.539725,0.430244,0.109439,3571912762.805270
0.539765,0.430478,0.109247,3571912762.815270
0.539805,0.430710,0.109055,3571912762.825266
0.539843,0.430942,0.108863,3571912762.835270
0.539881,0.431172,0.108672,3571912762.845271
0.539918,0.431401,0.108480,3571912762.855271
0.539954,0.431629,0.108289,3571912762.865272
0.539989,0.431855,0.108099,3571912762.875272
0.540023,0.432081,0.107908,3571912762.885272
0.540057,0.432305,0.107718,3571912762.895272
0.540089,0.432529,0.107528,3571912762.905273
0.540121,0.432751,0.107338,3571912762.915272
0.540152,0.432972,0.107149,3571912762.925270
0.540181,0.433192,0.106960,3571912762.935273
0.540210,0.433410,0.106771,3571912762.945273
0.540238,0.433628,0.106583,3571912762.955274
0.540265,0.433844,0.106394,3571912762.965274
