u_in,u_hat, u_tilde,Absolute Time
0.579593,0.469742,0.109849,3571913233.021061
0.579594,0.469967,0.109625,3571913233.031066
0.579595,0.470192,0.109402,3571913233.041067
0.579596,0.470416,0.109179,3571913233.051066
0.579597,0.470639,0.108956,3571913233.061067
0.579598,0.470863,0.108734,3571913233.071066
0.579599,0.471086,0.108512,3571913233.081063
0.579600,-1.581335,2.160934,3571913233.091067
0.579601,0.482992,0.096608,3571913233.101066
0.579602,0.483194,0.096407,3571913233.111067
0.579603,0.483395,0.096207,3571913233.121069
0.579604,0.483597,0.096007,3571913233.131069
0.579605,0.483798,0.095807,3571913233.141067
0.579607,0.483998,0.095607,3571913233.151069
0.579608,0.484198,0.095408,3571913233.161070
0.579609,0.484398,0.095209,3571913233.171070
0.579610,0.484598,0.095011,3571913233.181066
0.579611,0.484797,0.094813,3571913233.191070
0.579612,0.484996,0.094615,3571913233.201069
0.579613,0.485194,0.094418,3571913233.211071
0.579614,0.485392,0.094221,3571913233.221071
0.579615,0.485590,0.094024,3571913233.231072
0.579616,0.485787,0.093828,3571913233.241072
0.579617,0.485984,0.093632,3571913233.251072
0.579618,0.486181,0.093436,3571913233.261069
0.579619,0.486377,0.093241,3571913233.271074
0.579620,0.486573,0.093046,3571913233.281069
0.579621,-1.113914,1.693534,3571913233.291076
0.579622,0.491746,0.087875,3571913233.301072
0.579623,0.491933,0.087689,3571913233.311074
0.579624,0.492119,0.087505,3571913233.321071
0.579625,0.492304,0.087320,3571913233.331076
0.579626,0.492489,0.087136,3571913233.341076
0.579627,0.492674,0.086952,3571913233.351077
0.579628,0.492859,0.086768,3571913233.361076
0.579629,0.493043,0.086585,3571913233.371075
0.579630,0.493227,0.086402,3571913233.381072
0.579631,0.493411,0.086219,3571913233.391076
0.579632,0.493594,0.086037,3571913233.401077
0.579633,0.493777,0.085855,3571913233.411075
0.579634,0.493960,0.085674,3571913233.421075
0.579635,0.494142,0.085492,3571913233.431075
0.579636,0.494324,0.085311,3571913233.441076
0.579637,0.494505,0.085131,3571913233.451076
0.579638,0.494687,0.084951,3571913233.461078
0.579639,0.494867,0.084771,3571913233.471076
0.579640,0.495048,0.084591,3571913233.481074
0.579641,-1.937614,2.517254,3571913233.491076
0.579642,0.514303,0.065338,3571913233.501077
0.579643,0.514446,0.065196,3571913233.511078
0.579644,0.514590,0.065053,3571913233.521079
0.579645,0.514733,0.064911,3571913233.531078
0.579646,0.514876,0.064769,3571913233.541080
0.579647,0.515018,0.064627,3571913233.551078
0.579648,0.515161,0.064486,3571913233.561078
0.579649,0.515303,0.064345,3571913233.571080
0.579650,0.515444,0.064204,3571913233.581076
0.579651,0.515586,0.064064,3571913233.591080
0.579652,0.515727,0.063924,3571913233.601079
0.579652,0.515868,0.063784,3571913233.611079
0.579653,0.516008,0.063644,3571913233.621078
0.579654,0.516149,0.063505,3571913233.631081
0.579655,0.516289,0.063366,3571913233.641079
0.579656,0.516429,0.063227,3571913233.651080
0.579657,0.516568,0.063088,3571913233.661080
0.579658,0.516707,0.062950,3571913233.671081
0.579659,0.516846,0.062812,3571913233.681076
0.579660,2.368003,-1.788344,3571913233.691082
0.579661,0.485435,0.094225,3571913233.701081
0.579662,0.485633,0.094028,3571913233.711081
0.579663,0.485830,0.093832,3571913233.721082
0.579664,0.486027,0.093636,3571913233.731082
0.579665,0.486223,0.093440,3571913233.741083
0.579666,0.486420,0.093245,3571913233.751083
0.579666,0.486615,0.093050,3571913233.761084
0.579667,0.486811,0.092855,3571913233.771083
0.579668,0.487006,0.092661,3571913233.781080
0.579669,0.487201,0.092467,3571913233.791083
0.579670,0.487395,0.092274,3571913233.801085
0.579671,0.487590,0.092080,3571913233.811081
0.579672,0.487783,0.091888,3571913233.821082
0.579673,0.487977,0.091695,3571913233.831082
0.579674,0.488170,0.091503,3571913233.841083
0.579675,0.488363,0.091311,3571913233.851084
0.579675,0.488555,0.091119,3571913233.861083
0.579676,0.488747,0.090928,3571913233.871083
0.579677,0.488939,0.090737,3571913233.881079
0.579678,-1.703978,2.283655,3571913233.891082
0.579679,0.502839,0.076839,3571913233.901083
0.579680,0.503005,0.076674,3571913233.911084
0.579681,0.503170,0.076510,3571913233.921083
0.579682,0.503335,0.076345,3571913233.931082
0.579682,0.503500,0.076181,3571913233.941082
0.579683,0.503665,0.076018,3571913233.951082
0.579684,0.503829,0.075855,3571913233.961082
0.579685,0.503993,0.075692,3571913233.971084
0.579686,0.504156,0.075529,3571913233.981078
0.579687,0.504320,0.075366,3571913233.991083
0.579688,0.504482,0.075204,3571913234.001081
0.579689,0.504645,0.075043,3571913234.011082
0.579689,0.504807,0.074881,3571913234.021082
0.579690,0.504969,0.074720,3571913234.031084
0.579691,0.505131,0.074559,3571913234.041083
0.579692,0.505292,0.074399,3571913234.051083
0.579693,0.505454,0.074238,3571913234.061084
0.579694,0.505614,0.074078,3571913234.071085
0.579694,0.505775,0.073919,3571913234.081080
0.579695,-1.780215,2.359909,3571913234.091086
0.579696,0.521264,0.058431,3571913234.101084
0.579697,0.521394,0.058302,3571913234.111086
0.579698,0.521523,0.058174,3571913234.121085
0.579699,0.521653,0.058045,3571913234.131085
0.579700,0.521782,0.057917,3571913234.141086
0.579700,0.521911,0.057789,3571913234.151087
0.579701,0.522039,0.057661,3571913234.161086
0.579702,0.522168,0.057534,3571913234.171088
0.579703,0.522296,0.057406,3571913234.181083
0.579704,0.522423,0.057279,3571913234.191088
0.579704,0.522551,0.057153,3571913234.201087
0.579705,0.522678,0.057026,3571913234.211089
0.579706,0.522805,0.056900,3571913234.221087
0.579707,0.522932,0.056774,3571913234.231089
0.579708,0.523058,0.056648,3571913234.241090
0.579709,0.523185,0.056523,3571913234.251091
0.579709,0.523311,0.056398,3571913234.261089
0.579710,0.523436,0.056273,3571913234.271090
0.579711,0.523562,0.056148,3571913234.281085
0.579712,-1.009713,1.589424,3571913234.291091
0.579713,0.527420,0.052292,3571913234.301090
0.579713,0.527537,0.052175,3571913234.311091
0.579714,0.527654,0.052059,3571913234.321092
0.579715,0.527771,0.051943,3571913234.331092
0.579716,0.527888,0.051827,3571913234.341091
0.579717,0.528004,0.051711,3571913234.351092
0.579717,0.528121,0.051596,3571913234.361093
0.579718,0.528237,0.051481,3571913234.371094
0.579719,0.528352,0.051366,3571913234.381090
0.579720,0.528468,0.051251,3571913234.391094
0.579720,0.528583,0.051137,3571913234.401096
0.579721,0.528698,0.051023,3571913234.411095
0.579722,0.528813,0.050909,3571913234.421097
0.579723,0.528927,0.050795,3571913234.431095
0.579724,0.529041,0.050681,3571913234.441096
0.579724,0.529156,0.050568,3571913234.451096
0.579725,0.529269,0.050455,3571913234.461096
0.579726,0.529383,0.050342,3571913234.471097
0.579727,0.529496,0.050230,3571913234.481092
