u_in,u_hat, u_tilde,Absolute Time
0.353709,0.360094,-0.006769,3571910054.902962
0.354093,0.360464,-0.006755,3571910054.912964
0.354477,0.360834,-0.006741,3571910054.922964
0.354860,0.361204,-0.006727,3571910054.932964
0.355242,0.361574,-0.006714,3571910054.942964
0.355625,0.361943,-0.006700,3571910054.952964
0.356006,0.362311,-0.006686,3571910054.962960
0.356388,0.362679,-0.006673,3571910054.972966
0.356769,0.363047,-0.006659,3571910054.982965
0.357149,0.363414,-0.006646,3571910054.992966
0.357530,0.363781,-0.006632,3571910055.002966
0.357909,0.364148,-0.006618,3571910055.012966
0.358289,0.364514,-0.006605,3571910055.022965
0.358667,0.364880,-0.006591,3571910055.032967
0.359046,0.365245,-0.006578,3571910055.042967
0.359424,0.365610,-0.006564,3571910055.052967
0.359801,0.365975,-0.006551,3571910055.062964
0.360179,0.366339,-0.006537,3571910055.072968
0.360555,0.366703,-0.006524,3571910055.082968
0.360932,0.367066,-0.006511,3571910055.092970
0.361308,0.367429,-0.006497,3571910055.102969
0.361683,0.367792,-0.006484,3571910055.112970
0.362058,0.368154,-0.006471,3571910055.122969
0.362433,0.368515,-0.006457,3571910055.132970
0.362807,0.368877,-0.006444,3571910055.142970
0.363181,0.369238,-0.006431,3571910055.152970
0.363554,0.369598,-0.006417,3571910055.162967
0.363927,0.369958,-0.006404,3571910055.172971
0.364300,0.370318,-0.006391,3571910055.182971
0.364672,0.370677,-0.006378,3571910055.192972
0.365044,0.371036,-0.006364,3571910055.202970
0.365415,0.371395,-0.006351,3571910055.212973
0.365786,0.371753,-0.006338,3571910055.222973
0.366156,0.372111,-0.006325,3571910055.232973
0.366526,0.372468,-0.006312,3571910055.242973
0.366896,0.372825,-0.006299,3571910055.252974
0.367265,0.373181,-0.006285,3571910055.262969
0.367634,0.373537,-0.006272,3571910055.272974
0.368002,0.373893,-0.006259,3571910055.282974
0.368370,0.374248,-0.006246,3571910055.292975
0.368737,0.374603,-0.006233,3571910055.302975
0.369105,0.374958,-0.006220,3571910055.312975
0.369471,0.375312,-0.006207,3571910055.322973
0.369837,0.375665,-0.006194,3571910055.332975
0.370203,0.376019,-0.006181,3571910055.342976
0.370568,0.376372,-0.006168,3571910055.352976
0.370933,0.376724,-0.006155,3571910055.362972
0.371298,0.377076,-0.006143,3571910055.372976
0.371662,0.377428,-0.006130,3571910055.382976
0.372026,0.377779,-0.006117,3571910055.392977
0.372389,0.378130,-0.006104,3571910055.402977
0.372752,0.378480,-0.006091,3571910055.412978
0.373114,0.378830,-0.006078,3571910055.422977
0.373476,0.379180,-0.006066,3571910055.432978
0.373837,0.379529,-0.006053,3571910055.442979
0.374199,0.379878,-0.006040,3571910055.452979
0.374559,0.380226,-0.006027,3571910055.462975
0.374919,0.380574,-0.006015,3571910055.472980
0.375279,0.380921,-0.006002,3571910055.482980
0.375639,0.381269,-0.005989,3571910055.492980
0.375998,0.381615,-0.005977,3571910055.502979
0.376356,0.381962,-0.005964,3571910055.512980
0.376714,0.382308,-0.005951,3571910055.522980
0.377072,0.382653,-0.005939,3571910055.532981
0.377429,0.382998,-0.005926,3571910055.542981
0.377786,0.383343,-0.005914,3571910055.552982
0.378143,0.383687,-0.005901,3571910055.562978
0.378499,0.384031,-0.005889,3571910055.572982
0.378854,0.384374,-0.005876,3571910055.582982
0.379209,0.384718,-0.005864,3571910055.592983
0.379564,0.385060,-0.005851,3571910055.602984
0.379918,0.385402,-0.005839,3571910055.612984
0.380272,0.385744,-0.005826,3571910055.622983
0.380625,0.386086,-0.005814,3571910055.632984
0.380978,0.386427,-0.005801,3571910055.642984
0.381331,0.386767,-0.005789,3571910055.652985
0.381683,0.387108,-0.005777,3571910055.662981
0.382035,0.387447,-0.005764,3571910055.672986
0.382386,0.387787,-0.005752,3571910055.682986
0.382737,0.388126,-0.005740,3571910055.692985
0.383087,0.388464,-0.005727,3571910055.702987
0.383437,0.388802,-0.005715,3571910055.712987
0.383787,0.389140,-0.005703,3571910055.722987
0.384136,0.389477,-0.005691,3571910055.732987
0.384485,0.389814,-0.005678,3571910055.742988
0.384833,0.390151,-0.005666,3571910055.752988
0.385181,0.390487,-0.005654,3571910055.762984
0.385528,0.390823,-0.005642,3571910055.772988
0.385875,0.391158,-0.005630,3571910055.782989
0.386222,0.391493,-0.005618,3571910055.792989
0.386568,0.391827,-0.005605,3571910055.802988
0.386914,0.392161,-0.005593,3571910055.812989
0.387259,0.392495,-0.005581,3571910055.822989
0.387604,0.392828,-0.005569,3571910055.832991
0.387948,0.393161,-0.005557,3571910055.842990
0.388292,0.393494,-0.005545,3571910055.852990
0.388636,0.393826,-0.005533,3571910055.862986
0.388979,0.394157,-0.005521,3571910055.872990
0.389322,0.394488,-0.005509,3571910055.882991
0.389664,0.394819,-0.005497,3571910055.892992
0.390006,0.395149,-0.005485,3571910055.902992
0.390347,0.395479,-0.005473,3571910055.912992
0.390688,0.395809,-0.005462,3571910055.922991
0.391029,0.396138,-0.005450,3571910055.932992
0.391369,0.396467,-0.005438,3571910055.942993
0.391709,0.396795,-0.005426,3571910055.952993
0.392048,0.397123,-0.005414,3571910055.962990
0.392387,0.397451,-0.005402,3571910055.972994
0.392725,0.397778,-0.005391,3571910055.982996
0.393063,0.398104,-0.005379,3571910055.992994
0.393401,0.398431,-0.005367,3571910056.002994
0.393738,0.398756,-0.005355,3571910056.012995
0.394075,0.399082,-0.005344,3571910056.022995
0.394411,0.399407,-0.005332,3571910056.032995
0.394747,0.399732,-0.005320,3571910056.042997
0.395082,0.400056,-0.005309,3571910056.052996
0.395417,0.400380,-0.005297,3571910056.062993
0.000000,0.400703,-0.005286,3571910056.072994
0.000595,0.227071,-0.227071,3571910056.082997
0.001191,0.227339,-0.226743,3571910056.092998
0.001786,0.227607,-0.226416,3571910056.102996
0.002381,0.227876,-0.226090,3571910056.112998
0.002975,0.228144,-0.225764,3571910056.122999
0.003569,0.228413,-0.225438,3571910056.132998
0.004163,0.228682,-0.225112,3571910056.142998
0.004757,0.228951,-0.224787,3571910056.152998
0.005351,0.229220,-0.224462,3571910056.162994
0.005944,0.229489,-0.224138,3571910056.172999
0.006538,0.229758,-0.223814,3571910056.182999
0.007130,0.230028,-0.223490,3571910056.193000
0.007723,0.230298,-0.223167,3571910056.203000
0.008316,0.230567,-0.222844,3571910056.213000
0.008908,0.230837,-0.222522,3571910056.222999
0.009500,0.231107,-0.222200,3571910056.233002
0.010092,0.231378,-0.221878,3571910056.243001
0.010683,0.231648,-0.221556,3571910056.253001
0.011275,0.231919,-0.221235,3571910056.262998
0.011866,0.232189,-0.220915,3571910056.273001
0.012457,0.232460,-0.220594,3571910056.283002
0.013047,0.232731,-0.220275,3571910056.293017
0.013638,0.233002,-0.219955,3571910056.303017
0.014228,0.233273,-0.219636,3571910056.313018
0.014818,0.233545,-0.219317,3571910056.323018
0.015407,0.233816,-0.218998,3571910056.333017
0.015997,0.234088,-0.218680,3571910056.343019
0.016586,0.234360,-0.218363,3571910056.353018
0.017175,0.234631,-0.218045,3571910056.363001
0.017764,0.234904,-0.217728,3571910056.373019
0.018353,0.235176,-0.217412,3571910056.383019
0.018941,0.235448,-0.217095,3571910056.393019
0.019529,0.235720,-0.216779,3571910056.403018
0.020117,0.235993,-0.216464,3571910056.413020
0.020705,0.236266,-0.216148,3571910056.423021
0.021292,0.236538,-0.215834,3571910056.433020
0.021880,0.236811,-0.215519,3571910056.443022
0.022467,0.237084,-0.215205,3571910056.453021
0.023053,0.237358,-0.214891,3571910056.463017
0.023640,0.237631,-0.214577,3571910056.473022
0.024226,0.237904,-0.214264,3571910056.483021
0.024812,0.238178,-0.213952,3571910056.493023
0.025398,0.238452,-0.213639,3571910056.503022
0.025984,0.238725,-0.213327,3571910056.513022
0.026569,0.238999,-0.213015,3571910056.523022
0.027155,0.239273,-0.212704,3571910056.533023
0.027740,0.239547,-0.212393,3571910056.543022
0.028324,0.239822,-0.212082,3571910056.553023
0.028909,0.240096,-0.211772,3571910056.563019
0.029493,0.240371,-0.211462,3571910056.573024
0.030077,0.240645,-0.211152,3571910056.583022
0.030661,0.240920,-0.210843,3571910056.593024
0.031245,0.241195,-0.210534,3571910056.603024
0.031828,0.241470,-0.210225,3571910056.613025
0.032411,0.241745,-0.209917,3571910056.623025
0.032994,0.242020,-0.209609,3571910056.633026
0.033577,0.242296,-0.209301,3571910056.643026
0.034160,0.242571,-0.208994,3571910056.653026
0.034742,0.242847,-0.208687,3571910056.663023
0.035324,0.243122,-0.208380,3571910056.673027
0.035906,0.243398,-0.208074,3571910056.683027
0.036488,0.243674,-0.207768,3571910056.693027
0.037069,0.243950,-0.207463,3571910056.703026
0.037650,0.244226,-0.207157,3571910056.713028
0.038231,0.244502,-0.206852,3571910056.723028
0.038812,0.244779,-0.206548,3571910056.733027
