Absolute Time,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot,bias_psi,bias_x,bias_y,nu_psi_hat, nu_x_hat, nu_y_hat
3574072659.923769,-0.149452,-1.023024,0.231159,0.032113,2.166076,0.083598,-0.117339,1.143053,0.314757,0.020788,0.000414,-0.026431,0.007433,-0.149329,-0.012998,0.001960,-0.001093
3574072659.933769,-0.149588,-1.023038,0.231129,0.032119,2.166109,0.083615,-0.117469,1.143071,0.314744,0.020792,0.000414,-0.026431,0.007453,-0.149328,-0.013000,0.001964,-0.001114
3574072659.943769,-0.149712,-1.023086,0.231157,0.032125,2.166142,0.083632,-0.117587,1.143057,0.314789,0.020796,0.000414,-0.026422,0.007439,-0.149284,-0.012994,0.001961,-0.001129
3574072659.953768,-0.149849,-1.023101,0.231127,0.032131,2.166175,0.083648,-0.117717,1.143075,0.314775,0.020801,0.000414,-0.026422,0.007458,-0.149283,-0.012995,0.001965,-0.001150
3574072659.963769,-0.149981,-1.023142,0.231200,0.032138,2.166208,0.083665,-0.117843,1.143066,0.314865,0.020805,0.000414,-0.026418,0.007446,-0.149202,-0.012996,0.001962,-0.001159
3574072659.973768,-0.150117,-1.023157,0.231170,0.032144,2.166241,0.083682,-0.117973,1.143084,0.314851,0.020809,0.000414,-0.026418,0.007465,-0.149201,-0.012997,0.001966,-0.001180
3574072659.983770,-0.150248,-1.023191,0.231284,0.032150,2.166274,0.083698,-0.118098,1.143083,0.314982,0.020813,0.000415,-0.026414,0.007455,-0.149087,-0.012999,0.001963,-0.001184
3574072659.993769,-0.150384,-1.023206,0.231253,0.032156,2.166307,0.083715,-0.118228,1.143102,0.314968,0.020817,0.000415,-0.026414,0.007475,-0.149086,-0.013000,0.001967,-0.001205
3574072660.003772,-0.150516,-1.023227,0.231406,0.032163,2.166341,0.083732,-0.118353,1.143114,0.315138,0.020821,0.000415,-0.026411,0.007472,-0.148939,-0.013003,0.001966,-0.001204
3574072660.013770,-0.150652,-1.023242,0.231375,0.032169,2.166374,0.083749,-0.118483,1.143132,0.315123,0.020825,0.000415,-0.026411,0.007491,-0.148938,-0.013004,0.001970,-0.001225
3574072660.023771,-0.150788,-1.023262,0.231567,0.032175,2.166407,0.083765,-0.118613,1.143145,0.315332,0.020830,0.000415,-0.026410,0.007485,-0.148760,-0.013010,0.001969,-0.001219
3574072660.033771,-0.150924,-1.023277,0.231535,0.032181,2.166440,0.083782,-0.118743,1.143163,0.315318,0.020834,0.000415,-0.026410,0.007504,-0.148759,-0.013012,0.001973,-0.001240
3574072660.043772,-0.151062,-1.023289,0.231762,0.032188,2.166473,0.083799,-0.118874,1.143184,0.315561,0.020838,0.000415,-0.026411,0.007502,-0.148553,-0.013020,0.001972,-0.001230
3574072660.053773,-0.151198,-1.023304,0.231731,0.032194,2.166506,0.083816,-0.119005,1.143202,0.315547,0.020842,0.000415,-0.026411,0.007521,-0.148552,-0.013021,0.001976,-0.001250
3574072660.063772,-0.151333,-1.023307,0.231986,0.032200,2.166539,0.083833,-0.119133,1.143232,0.315818,0.020846,0.000415,-0.026409,0.007522,-0.148323,-0.013028,0.001976,-0.001236
3574072660.073772,-0.151469,-1.023322,0.231954,0.032206,2.166572,0.083849,-0.119263,1.143251,0.315803,0.020850,0.000415,-0.026409,0.007542,-0.148322,-0.013029,0.001980,-0.001257
3574072660.083779,-0.151608,-1.023318,0.232238,0.032213,2.166605,0.083866,-0.119395,1.143287,0.316104,0.020855,0.000415,-0.026411,0.007546,-0.148068,-0.013040,0.001980,-0.001239
3574072660.093773,-0.151744,-1.023333,0.232207,0.032219,2.166639,0.083883,-0.119525,1.143305,0.316089,0.020859,0.000415,-0.026411,0.007565,-0.148067,-0.013041,0.001984,-0.001260
