Absolute Time,tau_d_psi,tau_d_x,tau_d_y,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot
3573961628.119177,0.000020,0.000026,0.001551,0.000159,0.000918,-0.001769,0.196211,3.327637,0.663813,0.196369,3.328556,0.662045,0.165954,0.000000
3573961628.129179,0.000021,0.000027,0.001551,0.000158,0.000917,-0.001770,0.196211,3.327637,0.663813,0.196369,3.328554,0.662044,0.165954,0.000000
3573961628.139179,0.000021,0.000028,0.001550,0.000157,0.000916,-0.001771,0.196212,3.327637,0.663813,0.196369,3.328553,0.662042,0.165954,0.000000
3573961628.149179,0.000021,0.000029,0.001549,0.000156,0.000914,-0.001772,0.196213,3.327637,0.663813,0.196368,3.328552,0.662041,0.165954,0.000000
3573961628.159175,0.000021,0.000030,0.001549,0.000155,0.000913,-0.001773,0.196214,3.327637,0.663813,0.196368,3.328550,0.662040,0.165954,0.000000
3573961628.169179,0.000021,0.000031,0.001548,0.000154,0.000912,-0.001774,0.196214,3.327637,0.663813,0.196368,3.328549,0.662039,0.165954,0.000000
3573961628.179180,0.000021,0.000032,0.001547,0.000153,0.000910,-0.001775,0.196215,3.327637,0.663814,0.196367,3.328548,0.662038,0.165954,0.000000
3573961628.189180,0.000021,0.000032,0.001546,0.000152,0.000909,-0.001776,0.196216,3.327637,0.663814,0.196367,3.328546,0.662037,0.165954,0.000000
3573961628.199181,0.000022,0.000033,0.001546,0.000151,0.000908,-0.001778,0.196216,3.327637,0.663814,0.196367,3.328545,0.662036,0.165954,0.000000
3573961628.209181,0.000022,0.000034,0.001545,0.000150,0.000907,-0.001779,0.196217,3.327637,0.663814,0.196367,3.328544,0.662035,0.165954,0.000000
3573961628.219182,0.000022,0.000035,0.001544,0.000149,0.000905,-0.001780,0.196218,3.327637,0.663814,0.196366,3.328543,0.662034,0.165954,0.000000
3573961628.229182,0.000022,0.000036,0.001544,0.000148,0.000904,-0.001781,0.196218,3.327637,0.663814,0.196366,3.328541,0.662033,0.165954,0.000000
3573961628.239182,0.000022,0.000037,0.001543,0.000147,0.000903,-0.001782,0.196219,3.327637,0.663814,0.196366,3.328540,0.662032,0.165954,0.000000
3573961628.249182,0.000022,0.000038,0.001542,0.000146,0.000901,-0.001783,0.196220,3.327637,0.663814,0.196365,3.328539,0.662031,0.165954,0.000000
3573961628.259178,0.000022,0.000039,0.001541,0.000145,0.000900,-0.001784,0.196220,3.327637,0.663814,0.196365,3.328537,0.662030,0.165954,0.000000
3573961628.269183,0.000022,0.000040,0.001541,0.000144,0.000899,-0.001785,0.196221,3.327637,0.663814,0.196365,3.328536,0.662029,0.165954,0.000000
3573961628.279183,0.000023,0.000041,0.001540,0.000143,0.000897,-0.001786,0.196222,3.327637,0.663814,0.196364,3.328535,0.662028,0.165954,0.000000
3573961628.289184,0.000023,0.000042,0.001539,0.000142,0.000896,-0.001787,0.196222,3.327637,0.663814,0.196364,3.328533,0.662027,0.165954,0.000000
3573961628.299183,0.000023,0.000043,0.001538,0.000141,0.000895,-0.001788,0.196223,3.327637,0.663814,0.196364,3.328532,0.662026,0.165954,0.000000
3573961628.309184,0.000023,0.000044,0.001538,0.000140,0.000894,-0.001789,0.196224,3.327637,0.663814,0.196363,3.328531,0.662025,0.165954,0.000000
3573961628.319184,0.000023,0.000045,0.001537,0.000139,0.000892,-0.001790,0.196224,3.327637,0.663814,0.196363,3.328529,0.662024,0.165954,0.000000
3573961628.329185,0.000023,0.000046,0.001536,0.000138,0.000891,-0.001791,0.196225,3.327637,0.663814,0.196363,3.328528,0.662023,0.165954,0.000000
3573961628.339185,0.000023,0.000047,0.001535,0.000137,0.000890,-0.001792,0.196226,3.327637,0.663814,0.196363,3.328527,0.662022,0.165954,0.000000
3573961628.349185,0.000024,0.000048,0.001535,0.000136,0.000888,-0.001793,0.196226,3.327637,0.663814,0.196362,3.328525,0.662021,0.165954,0.000000
3573961628.359180,0.000024,0.000049,0.001534,0.000135,0.000887,-0.001794,0.196227,3.327637,0.663814,0.196362,3.328524,0.662020,0.165954,0.000000
3573961628.369186,0.000024,0.000050,0.001533,0.000134,0.000886,-0.001794,0.196228,3.327637,0.663814,0.196362,3.328523,0.662019,0.165954,0.000000
3573961628.379186,0.000024,0.000050,0.001532,0.000133,0.000884,-0.001795,0.196229,3.327637,0.663814,0.196361,3.328521,0.662018,0.165954,0.000000
