Absolute Time,tau_d_psi,tau_d_x,tau_d_y,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot
3573963181.650263,0.011991,-0.187687,0.167688,0.120146,-0.372071,0.097876,0.414936,9.078425,2.105742,0.535082,8.706354,2.203618,0.869818,0.023580
3573963181.660260,0.011935,-0.187482,0.167665,0.120188,-0.371542,0.097821,0.414955,9.077719,2.106169,0.535144,8.706177,2.203990,0.870054,0.023578
3573963181.670265,0.011878,-0.187277,0.167643,0.120230,-0.371015,0.097765,0.414975,9.077013,2.106597,0.535205,8.705998,2.204362,0.870289,0.023575
3573963181.680265,0.011822,-0.187072,0.167621,0.120271,-0.370488,0.097710,0.414995,9.076306,2.107024,0.535266,8.705818,2.204734,0.870525,0.023572
3573963181.690265,0.011766,-0.186868,0.167598,0.120313,-0.369961,0.097654,0.415014,9.075599,2.107451,0.535327,8.705637,2.205105,0.870761,0.023569
3573963181.700266,0.011709,-0.186664,0.167576,0.120354,-0.369436,0.097598,0.415034,9.074891,2.107878,0.535388,8.705455,2.205476,0.870996,0.023566
3573963181.710266,0.011653,-0.186460,0.167554,0.120396,-0.368911,0.097542,0.415053,9.074183,2.108304,0.535449,8.705272,2.205847,0.871232,0.023563
3573963181.720266,0.011597,-0.186256,0.167532,0.120437,-0.368387,0.097486,0.415073,9.073475,2.108731,0.535510,8.705088,2.206217,0.871468,0.023561
3573963181.730267,0.011541,-0.186052,0.167510,0.120478,-0.367863,0.097429,0.415092,9.072766,2.109157,0.535570,8.704903,2.206587,0.871703,0.023558
3573963181.740266,0.011485,-0.185849,0.167489,0.120519,-0.367341,0.097372,0.415112,9.072057,2.109584,0.535631,8.704716,2.206956,0.871939,0.023555
3573963181.750267,0.011429,-0.185646,0.167467,0.120560,-0.366819,0.097315,0.415131,9.071348,2.110010,0.535692,8.704529,2.207325,0.872174,0.023552
3573963181.760263,0.011372,-0.185443,0.167446,0.120601,-0.366297,0.097258,0.415151,9.070638,2.110436,0.535752,8.704340,2.207694,0.872410,0.023549
3573963181.770267,0.011316,-0.185240,0.167424,0.120642,-0.365777,0.097201,0.415170,9.069927,2.110861,0.535812,8.704151,2.208062,0.872645,0.023547
3573963181.780269,0.011260,-0.185037,0.167403,0.120683,-0.365257,0.097143,0.415190,9.069217,2.111287,0.535873,8.703960,2.208430,0.872881,0.023544
3573963181.790268,0.011204,-0.184835,0.167382,0.120724,-0.364737,0.097085,0.415209,9.068505,2.111713,0.535933,8.703768,2.208798,0.873116,0.023541
3573963181.800268,0.011148,-0.184633,0.167360,0.120764,-0.364219,0.097027,0.415229,9.067794,2.112138,0.535993,8.703575,2.209165,0.873352,0.023538
3573963181.810269,0.011092,-0.184431,0.167339,0.120805,-0.363701,0.096969,0.415248,9.067082,2.112563,0.536053,8.703381,2.209532,0.873587,0.023535
3573963181.820269,0.011036,-0.184229,0.167318,0.120846,-0.363184,0.096910,0.415268,9.066370,2.112988,0.536113,8.703186,2.209898,0.873822,0.023532
3573963181.830268,0.010981,-0.184027,0.167298,0.120886,-0.362667,0.096851,0.415287,9.065657,2.113413,0.536173,8.702990,2.210264,0.874058,0.023530
3573963181.840270,0.010925,-0.183826,0.167277,0.120926,-0.362152,0.096792,0.415306,9.064944,2.113838,0.536233,8.702792,2.210630,0.874293,0.023527
3573963181.850270,0.010869,-0.183625,0.167256,0.120967,-0.361637,0.096733,0.415326,9.064231,2.114262,0.536293,8.702594,2.210995,0.874528,0.023524
3573963181.860264,0.010813,-0.183424,0.167235,0.121007,-0.361122,0.096674,0.415345,9.063517,2.114687,0.536352,8.702395,2.211360,0.874763,0.023521
3573963181.870271,0.010757,-0.183223,0.167215,0.121047,-0.360609,0.096614,0.415365,9.062803,2.115111,0.536412,8.702194,2.211725,0.874999,0.023518
3573963181.880270,0.010702,-0.183022,0.167195,0.121087,-0.360096,0.096554,0.415384,9.062088,2.115535,0.536471,8.701992,2.212089,0.875234,0.023516
3573963181.890270,0.010646,-0.182821,0.167174,0.121127,-0.359583,0.096494,0.415403,9.061373,2.115959,0.536531,8.701790,2.212453,0.875469,0.023513
3573963181.900271,0.010590,-0.182621,0.167154,0.121167,-0.359072,0.096434,0.415423,9.060658,2.116383,0.536590,8.701586,2.212817,0.875704,0.023510
3573963181.910271,0.010535,-0.182421,0.167134,0.121207,-0.358561,0.096374,0.415442,9.059942,2.116806,0.536649,8.701381,2.213180,0.875939,0.023507
3573963181.920272,0.010479,-0.182221,0.167114,0.121247,-0.358051,0.096313,0.415462,9.059226,2.117230,0.536708,8.701175,2.213543,0.876174,0.023504
3573963181.930273,0.010423,-0.182021,0.167094,0.121286,-0.357541,0.096252,0.415481,9.058509,2.117653,0.536767,8.700968,2.213905,0.876409,0.023502
3573963181.940273,0.010368,-0.181822,0.167074,0.121326,-0.357032,0.096191,0.415500,9.057792,2.118076,0.536826,8.700760,2.214267,0.876644,0.023499
3573963181.950272,0.010312,-0.181622,0.167054,0.121366,-0.356524,0.096130,0.415520,9.057075,2.118499,0.536885,8.700551,2.214629,0.876879,0.023496
3573963181.960269,0.010257,-0.181423,0.167034,0.121405,-0.356017,0.096068,0.415539,9.056357,2.118922,0.536944,8.700341,2.214990,0.877114,0.023493
3573963181.970274,0.010201,-0.181224,0.167014,0.121444,-0.355510,0.096007,0.415558,9.055639,2.119345,0.537003,8.700129,2.215351,0.877349,0.023491
3573963181.980273,0.010146,-0.181025,0.166995,0.121484,-0.355004,0.095945,0.415578,9.054921,2.119767,0.537061,8.699917,2.215712,0.877584,0.023488
3573963181.990274,0.010090,-0.180827,0.166975,0.121523,-0.354498,0.095883,0.415597,9.054202,2.120190,0.537120,8.699704,2.216072,0.877819,0.023485
3573963182.000274,0.010035,-0.180628,0.166956,0.121562,-0.353994,0.095821,0.415616,9.053483,2.120612,0.537178,8.699489,2.216432,0.878054,0.023482
3573963182.010275,0.009980,-0.180430,0.166936,0.121601,-0.353490,0.095758,0.415636,9.052763,2.121034,0.537237,8.699274,2.216792,0.878288,0.023479
3573963182.020275,0.009924,-0.180232,0.166917,0.121640,-0.352986,0.095695,0.415655,9.052043,2.121456,0.537295,8.699057,2.217151,0.878523,0.023477
3573963182.030275,0.009869,-0.180034,0.166898,0.121679,-0.352484,0.095632,0.415674,9.051323,2.121878,0.537353,8.698839,2.217510,0.878758,0.023474
3573963182.040276,0.009814,-0.179837,0.166878,0.121718,-0.351982,0.095569,0.415693,9.050602,2.122299,0.537411,8.698621,2.217869,0.878993,0.023471
3573963182.050274,0.009759,-0.179639,0.166859,0.121757,-0.351480,0.095506,0.415713,9.049881,2.122721,0.537469,8.698401,2.218227,0.879227,0.023468
3573963182.060271,0.009703,-0.179442,0.166840,0.121795,-0.350980,0.095443,0.415732,9.049160,2.123142,0.537527,8.698180,2.218585,0.879462,0.023466
3573963182.070276,0.009648,-0.179245,0.166821,0.121834,-0.350480,0.095379,0.415751,9.048438,2.123563,0.537585,8.697958,2.218942,0.879697,0.023463
