Absolute Time,tau_d_psi,tau_d_x,tau_d_y,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot,nu_psi_hat, nu_x_hat, nu_y_hat
3573965127.990416,-0.000256,0.003047,0.000982,0.001416,0.002474,-0.010314,0.199034,3.352381,0.676191,0.200450,3.354855,0.665877,0.169048,0.000000,-0.000181,-0.000072,0.002037
3573965128.000416,-0.000256,0.003049,0.000968,0.001415,0.002460,-0.010296,0.199034,3.352381,0.676191,0.200449,3.354841,0.665894,0.169048,0.000000,-0.000181,-0.000070,0.002033
3573965128.010417,-0.000256,0.003051,0.000954,0.001413,0.002445,-0.010279,0.199034,3.352381,0.676191,0.200447,3.354826,0.665912,0.169048,0.000000,-0.000180,-0.000068,0.002030
3573965128.020417,-0.000256,0.003053,0.000941,0.001411,0.002431,-0.010261,0.199034,3.352381,0.676191,0.200445,3.354812,0.665929,0.169048,0.000000,-0.000180,-0.000066,0.002026
3573965128.030415,-0.000256,0.003055,0.000927,0.001410,0.002416,-0.010244,0.199034,3.352381,0.676191,0.200444,3.354797,0.665947,0.169048,0.000000,-0.000180,-0.000064,0.002022
3573965128.040417,-0.000256,0.003057,0.000913,0.001408,0.002402,-0.010226,0.199034,3.352381,0.676191,0.200442,3.354783,0.665964,0.169048,0.000000,-0.000180,-0.000062,0.002018
3573965128.050419,-0.000256,0.003058,0.000899,0.001406,0.002387,-0.010209,0.199034,3.352381,0.676191,0.200440,3.354768,0.665982,0.169048,0.000000,-0.000180,-0.000060,0.002014
3573965128.060418,-0.000256,0.003060,0.000886,0.001405,0.002373,-0.010191,0.199034,3.352381,0.676191,0.200439,3.354754,0.665999,0.169048,0.000000,-0.000179,-0.000058,0.002010
3573965128.070419,-0.000256,0.003062,0.000872,0.001403,0.002359,-0.010173,0.199034,3.352381,0.676191,0.200437,3.354740,0.666017,0.169048,0.000000,-0.000179,-0.000056,0.002006
3573965128.080418,-0.000256,0.003064,0.000858,0.001402,0.002344,-0.010156,0.199034,3.352381,0.676191,0.200436,3.354725,0.666035,0.169048,0.000000,-0.000179,-0.000054,0.002002
3573965128.090418,-0.000255,0.003066,0.000845,0.001400,0.002330,-0.010138,0.199034,3.352381,0.676191,0.200434,3.354711,0.666052,0.169048,0.000000,-0.000179,-0.000051,0.001998
3573965128.100418,-0.000255,0.003068,0.000831,0.001398,0.002316,-0.010121,0.199034,3.352381,0.676191,0.200432,3.354697,0.666070,0.169048,0.000000,-0.000179,-0.000049,0.001994
3573965128.110418,-0.000255,0.003069,0.000817,0.001397,0.002302,-0.010103,0.199034,3.352381,0.676191,0.200431,3.354683,0.666087,0.169048,0.000000,-0.000178,-0.000047,0.001990
3573965128.120420,-0.000255,0.003071,0.000804,0.001395,0.002287,-0.010086,0.199034,3.352381,0.676191,0.200429,3.354668,0.666105,0.169048,0.000000,-0.000178,-0.000045,0.001986
3573965128.130418,-0.000255,0.003073,0.000790,0.001394,0.002273,-0.010068,0.199034,3.352381,0.676191,0.200428,3.354654,0.666122,0.169048,0.000000,-0.000178,-0.000043,0.001982
3573965128.140420,-0.000255,0.003075,0.000776,0.001392,0.002259,-0.010050,0.199034,3.352381,0.676191,0.200426,3.354640,0.666140,0.169048,0.000000,-0.000178,-0.000041,0.001979
3573965128.150420,-0.000255,0.003076,0.000763,0.001390,0.002245,-0.010033,0.199034,3.352381,0.676191,0.200424,3.354626,0.666158,0.169048,0.000000,-0.000177,-0.000039,0.001975
3573965128.160420,-0.000255,0.003078,0.000749,0.001389,0.002231,-0.010015,0.199034,3.352381,0.676191,0.200423,3.354612,0.666175,0.169048,0.000000,-0.000177,-0.000037,0.001971
3573965128.170421,-0.000255,0.003080,0.000736,0.001387,0.002216,-0.009998,0.199034,3.352381,0.676191,0.200421,3.354597,0.666193,0.169048,0.000000,-0.000177,-0.000035,0.001967
3573965128.180421,-0.000255,0.003081,0.000722,0.001386,0.002202,-0.009980,0.199034,3.352381,0.676191,0.200420,3.354583,0.666210,0.169048,0.000000,-0.000177,-0.000033,0.001963
3573965128.190422,-0.000255,0.003083,0.000709,0.001384,0.002188,-0.009962,0.199034,3.352381,0.676191,0.200418,3.354569,0.666228,0.169048,0.000000,-0.000177,-0.000031,0.001959
3573965128.200421,-0.000255,0.003085,0.000695,0.001383,0.002174,-0.009945,0.199034,3.352381,0.676191,0.200417,3.354555,0.666246,0.169048,0.000000,-0.000176,-0.000029,0.001955
3573965128.210422,-0.000255,0.003086,0.000682,0.001381,0.002160,-0.009927,0.199034,3.352381,0.676191,0.200415,3.354541,0.666263,0.169048,0.000000,-0.000176,-0.000027,0.001951
3573965128.220422,-0.000255,0.003088,0.000669,0.001379,0.002146,-0.009910,0.199034,3.352381,0.676191,0.200413,3.354527,0.666281,0.169048,0.000000,-0.000176,-0.000025,0.001947
3573965128.230422,-0.000255,0.003089,0.000655,0.001378,0.002132,-0.009892,0.199034,3.352381,0.676191,0.200412,3.354513,0.666298,0.169048,0.000000,-0.000176,-0.000023,0.001943
3573965128.240423,-0.000255,0.003091,0.000642,0.001376,0.002118,-0.009874,0.199034,3.352381,0.676191,0.200410,3.354499,0.666316,0.169048,0.000000,-0.000176,-0.000021,0.001939
3573965128.250424,-0.000255,0.003093,0.000628,0.001375,0.002104,-0.009857,0.199034,3.352381,0.676191,0.200409,3.354485,0.666334,0.169048,0.000000,-0.000175,-0.000019,0.001936
3573965128.260423,-0.000254,0.003094,0.000615,0.001373,0.002090,-0.009839,0.199034,3.352381,0.676191,0.200407,3.354471,0.666351,0.169048,0.000000,-0.000175,-0.000017,0.001932
3573965128.270424,-0.000254,0.003096,0.000602,0.001372,0.002076,-0.009822,0.199034,3.352381,0.676191,0.200406,3.354457,0.666369,0.169048,0.000000,-0.000175,-0.000015,0.001928
3573965128.280424,-0.000254,0.003097,0.000588,0.001370,0.002062,-0.009804,0.199034,3.352381,0.676191,0.200404,3.354443,0.666386,0.169048,0.000000,-0.000175,-0.000013,0.001924
3573965128.290423,-0.000254,0.003098,0.000575,0.001369,0.002048,-0.009786,0.199034,3.352381,0.676191,0.200403,3.354429,0.666404,0.169048,0.000000,-0.000175,-0.000011,0.001920
3573965128.300425,-0.000254,0.003100,0.000562,0.001367,0.002035,-0.009769,0.199034,3.352381,0.676191,0.200401,3.354416,0.666422,0.169048,0.000000,-0.000174,-0.000009,0.001916
3573965128.310425,-0.000254,0.003101,0.000549,0.001365,0.002021,-0.009751,0.199034,3.352381,0.676191,0.200399,3.354402,0.666439,0.169048,0.000000,-0.000174,-0.000007,0.001912
3573965128.320425,-0.000254,0.003103,0.000535,0.001364,0.002007,-0.009734,0.199034,3.352381,0.676191,0.200398,3.354388,0.666457,0.169048,0.000000,-0.000174,-0.000005,0.001908
3573965128.330424,-0.000254,0.003104,0.000522,0.001362,0.001993,-0.009716,0.199034,3.352381,0.676191,0.200396,3.354374,0.666474,0.169048,0.000000,-0.000174,-0.000003,0.001904
3573965128.340426,-0.000254,0.003105,0.000509,0.001361,0.001979,-0.009698,0.199034,3.352381,0.676191,0.200395,3.354360,0.666492,0.169048,0.000000,-0.000174,-0.000002,0.001900
3573965128.350425,-0.000254,0.003107,0.000496,0.001359,0.001966,-0.009681,0.199034,3.352381,0.676191,0.200393,3.354347,0.666510,0.169048,0.000000,-0.000173,0.000000,0.001896
3573965128.360426,-0.000254,0.003108,0.000482,0.001358,0.001952,-0.009663,0.199034,3.352381,0.676191,0.200392,3.354333,0.666527,0.169048,0.000000,-0.000173,0.000002,0.001893
3573965128.370428,-0.000254,0.003109,0.000469,0.001356,0.001938,-0.009646,0.199034,3.352381,0.676191,0.200390,3.354319,0.666545,0.169048,0.000000,-0.000173,0.000004,0.001889
3573965128.380426,-0.000254,0.003111,0.000456,0.001355,0.001925,-0.009628,0.199034,3.352381,0.676191,0.200389,3.354306,0.666563,0.169048,0.000000,-0.000173,0.000006,0.001885
3573965128.390428,-0.000254,0.003112,0.000443,0.001353,0.001911,-0.009610,0.199034,3.352381,0.676191,0.200387,3.354292,0.666580,0.169048,0.000000,-0.000173,0.000008,0.001881
3573965128.400427,-0.000254,0.003113,0.000430,0.001352,0.001897,-0.009593,0.199034,3.352381,0.676191,0.200386,3.354278,0.666598,0.169048,0.000000,-0.000172,0.000010,0.001877
3573965128.410427,-0.000254,0.003115,0.000417,0.001350,0.001884,-0.009575,0.199034,3.352381,0.676191,0.200384,3.354265,0.666615,0.169048,0.000000,-0.000172,0.000012,0.001873
3573965128.420428,-0.000253,0.003116,0.000404,0.001349,0.001870,-0.009558,0.199034,3.352381,0.676191,0.200383,3.354251,0.666633,0.169048,0.000000,-0.000172,0.000014,0.001869
3573965128.430427,-0.000253,0.003117,0.000391,0.001347,0.001857,-0.009540,0.199034,3.352381,0.676191,0.200381,3.354238,0.666651,0.169048,0.000000,-0.000172,0.000016,0.001865
3573965128.440429,-0.000253,0.003118,0.000378,0.001346,0.001843,-0.009522,0.199034,3.352381,0.676191,0.200380,3.354224,0.666668,0.169048,0.000000,-0.000172,0.000018,0.001861
3573965128.450428,-0.000253,0.003119,0.000365,0.001344,0.001830,-0.009505,0.199034,3.352381,0.676191,0.200378,3.354211,0.666686,0.169048,0.000000,-0.000171,0.000020,0.001857
3573965128.460429,-0.000253,0.003120,0.000352,0.001343,0.001816,-0.009487,0.199034,3.352381,0.676191,0.200377,3.354197,0.666703,0.169048,0.000000,-0.000171,0.000022,0.001854
3573965128.470429,-0.000253,0.003122,0.000339,0.001341,0.001803,-0.009469,0.199034,3.352381,0.676191,0.200375,3.354184,0.666721,0.169048,0.000000,-0.000171,0.000023,0.001850
3573965128.480430,-0.000253,0.003123,0.000326,0.001340,0.001789,-0.009452,0.199034,3.352381,0.676191,0.200374,3.354170,0.666739,0.169048,0.000000,-0.000171,0.000025,0.001846
3573965128.490430,-0.000253,0.003124,0.000313,0.001338,0.001776,-0.009434,0.199034,3.352381,0.676191,0.200372,3.354157,0.666756,0.169048,0.000000,-0.000171,0.000027,0.001842
3573965128.500431,-0.000253,0.003125,0.000300,0.001337,0.001762,-0.009417,0.199034,3.352381,0.676191,0.200371,3.354143,0.666774,0.169048,0.000000,-0.000170,0.000029,0.001838
3573965128.510429,-0.000253,0.003126,0.000287,0.001335,0.001749,-0.009399,0.199034,3.352381,0.676191,0.200369,3.354130,0.666792,0.169048,0.000000,-0.000170,0.000031,0.001834
3573965128.520431,-0.000253,0.003127,0.000274,0.001334,0.001736,-0.009381,0.199034,3.352381,0.676191,0.200368,3.354117,0.666809,0.169048,0.000000,-0.000170,0.000033,0.001830
3573965128.530431,-0.000253,0.003128,0.000262,0.001332,0.001722,-0.009364,0.199034,3.352381,0.676191,0.200366,3.354103,0.666827,0.169048,0.000000,-0.000170,0.000035,0.001826
3573965128.540432,-0.000253,0.003129,0.000249,0.001331,0.001709,-0.009346,0.199034,3.352381,0.676191,0.200365,3.354090,0.666844,0.169048,0.000000,-0.000170,0.000037,0.001822
3573965128.550433,-0.000253,0.003130,0.000236,0.001329,0.001696,-0.009329,0.199034,3.352381,0.676191,0.200363,3.354077,0.666862,0.169048,0.000000,-0.000169,0.000038,0.001819
3573965128.560433,-0.000253,0.003131,0.000223,0.001328,0.001682,-0.009311,0.199034,3.352381,0.676191,0.200362,3.354063,0.666880,0.169048,0.000000,-0.000169,0.000040,0.001815
3573965128.570433,-0.000253,0.003132,0.000210,0.001326,0.001669,-0.009293,0.199034,3.352381,0.676191,0.200360,3.354050,0.666897,0.169048,0.000000,-0.000169,0.000042,0.001811
