u_BT,u_VSP1,Absolute Time
0.000000,0.000000,3568944000.489742
0.000000,0.000000,3568944000.499742
0.000000,0.000000,3568944000.509738
0.000000,0.000000,3568944000.519743
0.000000,0.000000,3568944000.529744
0.000000,0.000000,3568944000.539745
0.000000,0.000000,3568944000.549744
0.000000,0.000000,3568944000.559744
0.000000,0.000000,3568944000.569744
0.000000,0.000000,3568944000.579745
0.000000,0.000000,3568944000.589746
0.000000,0.000000,3568944000.599746
0.000000,0.000000,3568944000.609741
0.000000,0.000000,3568944000.619746
0.000000,0.000000,3568944000.629746
0.000000,0.000000,3568944000.639747
0.000000,0.000000,3568944000.649747
0.000000,0.000000,3568944000.659748
0.000000,0.000000,3568944000.669747
0.000000,0.000000,3568944000.679748
0.000000,0.000000,3568944000.689748
0.000000,0.000000,3568944000.699748
0.000000,0.000000,3568944000.709744
0.000000,0.000000,3568944000.719750
0.000000,0.000000,3568944000.729750
0.000000,0.000000,3568944000.739750
0.000000,0.000000,3568944000.749751
0.000000,0.000000,3568944000.759750
0.000000,0.000000,3568944000.769751
0.000000,0.000000,3568944000.779752
0.000000,0.000000,3568944000.789751
0.000000,0.000000,3568944000.799751
0.000000,0.000000,3568944000.809747
0.000000,0.000000,3568944000.819751
0.000000,0.000000,3568944000.829752
0.000000,0.000000,3568944000.839753
0.000000,0.000000,3568944000.849753
0.000000,0.000000,3568944000.859753
0.000000,0.000000,3568944000.869753
0.000000,0.000000,3568944000.879754
0.000000,0.000000,3568944000.889755
0.000000,0.000000,3568944000.899755
0.000000,0.000000,3568944000.909748
0.000000,0.000000,3568944000.919755
0.000000,0.000000,3568944000.929754
0.000000,0.000000,3568944000.939756
0.000000,0.000000,3568944000.949756
0.000000,0.000000,3568944000.959756
0.000000,0.000000,3568944000.969756
0.000000,0.000000,3568944000.979756
0.000000,0.000000,3568944000.989757
0.000000,0.000000,3568944000.999756
0.000000,0.000000,3568944001.009753
0.000000,0.000000,3568944001.019758
0.000000,0.000000,3568944001.029758
0.000000,0.000000,3568944001.039758
0.000000,0.000000,3568944001.049758
0.000000,0.000000,3568944001.059758
0.000000,0.000000,3568944001.069758
0.000000,0.000000,3568944001.079760
0.000000,0.000000,3568944001.089759
0.000000,0.000000,3568944001.099760
0.000000,0.000000,3568944001.109755
0.000000,0.000000,3568944001.119760
0.000000,0.000000,3568944001.129761
0.000000,0.000000,3568944001.139761
0.000000,0.000000,3568944001.149760
0.000000,0.000000,3568944001.159760
0.000000,0.000000,3568944001.169761
0.000000,0.000000,3568944001.179764
0.000000,0.000000,3568944001.189764
0.000000,0.000000,3568944001.199764
0.000000,0.000000,3568944001.209757
0.000000,0.000000,3568944001.219763
0.000000,0.000000,3568944001.229762
0.000000,0.000000,3568944001.239764
0.000000,0.000000,3568944001.249764
0.000000,0.000000,3568944001.259764
0.000000,0.000000,3568944001.269763
0.000000,0.000000,3568944001.279765
0.000000,0.000000,3568944001.289765
0.000000,0.000000,3568944001.299765
0.000000,0.000000,3568944001.309761
0.000000,0.000000,3568944001.319767
0.000000,0.000000,3568944001.329766
0.000000,0.000000,3568944001.339766
0.000000,0.000000,3568944001.349766
0.000000,0.000000,3568944001.359766
0.000000,0.000000,3568944001.369767
0.000000,0.000000,3568944001.379768
0.000000,0.000000,3568944001.389768
0.000000,0.000000,3568944001.399767
0.000000,0.000000,3568944001.409763
0.000000,0.000000,3568944001.419769
0.000000,0.000000,3568944001.429770
0.000000,0.000000,3568944001.439769
0.000000,0.000000,3568944001.449769
0.000000,0.000000,3568944001.459769
0.000000,0.000000,3568944001.469769
0.000000,0.000000,3568944001.479770
0.000000,0.000000,3568944001.489771
0.000000,0.000000,3568944001.499772
0.000000,0.000000,3568944001.509766
0.000000,0.000000,3568944001.519772
0.000000,0.000000,3568944001.529771
0.000000,0.000000,3568944001.539773
0.000000,0.000000,3568944001.549773
0.000000,0.000000,3568944001.559773
0.000000,0.000000,3568944001.569773
0.000000,0.000000,3568944001.579773
0.000000,0.000000,3568944001.589774
0.000000,0.000000,3568944001.599773
0.000000,0.000000,3568944001.609770
0.000000,0.000000,3568944001.619775
0.000000,0.000000,3568944001.629775
0.000000,0.000000,3568944001.639775
0.000000,0.000000,3568944001.649776
0.000000,0.000000,3568944001.659775
0.000000,0.000000,3568944001.669776
0.000000,0.000000,3568944001.679777
0.000000,0.000000,3568944001.689776
0.000000,0.000000,3568944001.699776
0.000000,0.000000,3568944001.709772
0.000000,0.000000,3568944001.719777
0.000000,0.000000,3568944001.729778
0.000000,0.000000,3568944001.739779
0.000000,0.000000,3568944001.749777
0.000000,0.000000,3568944001.759778
0.000000,0.000000,3568944001.769778
0.000000,0.000000,3568944001.779778
0.000000,0.000000,3568944001.789780
0.000000,0.000000,3568944001.799781
0.000000,0.000000,3568944001.809774
0.000000,0.000000,3568944001.819780
0.000000,0.000000,3568944001.829780
0.000000,0.000000,3568944001.839780
0.000000,0.000000,3568944001.849780
0.000000,0.000000,3568944001.859781
0.000000,0.000000,3568944001.869780
0.000000,0.000000,3568944001.879782
0.000000,0.000000,3568944001.889782
0.000000,0.000000,3568944001.899783
0.000000,0.000000,3568944001.909777
