u_BT,u_VSP1,Absolute Time
0.000000,0.000000,3568944151.313958
0.000000,0.000000,3568944151.323959
0.000000,0.000000,3568944151.333958
0.000000,0.000000,3568944151.343958
0.000000,0.000000,3568944151.353958
0.000000,0.000000,3568944151.363959
0.000000,0.000000,3568944151.373959
0.000000,0.000000,3568944151.383961
0.000000,0.000000,3568944151.393960
0.000000,0.000000,3568944151.403960
0.000000,0.000000,3568944151.413960
0.000000,0.000000,3568944151.423961
0.000000,0.000000,3568944151.433961
0.000000,0.000000,3568944151.443963
0.000000,0.000000,3568944151.453961
0.000000,0.000000,3568944151.463962
0.000000,0.000000,3568944151.473961
0.000000,0.000000,3568944151.483963
0.000000,0.000000,3568944151.493964
0.000000,0.000000,3568944151.503963
0.000000,0.000000,3568944151.513963
0.000000,0.000000,3568944151.523963
0.000000,0.000000,3568944151.533963
0.000000,0.000000,3568944151.543964
0.000000,0.000000,3568944151.553965
0.000000,0.000000,3568944151.563965
0.000000,0.000000,3568944151.573964
0.000000,0.000000,3568944151.583966
0.000000,0.000000,3568944151.593966
0.000000,0.000000,3568944151.603963
0.000000,0.000000,3568944151.613966
0.000000,0.000000,3568944151.623967
0.000000,0.000000,3568944151.633967
0.000000,0.000000,3568944151.643967
0.000000,0.000000,3568944151.653967
0.000000,0.000000,3568944151.663967
0.000000,0.000000,3568944151.673967
0.000000,0.000000,3568944151.683969
0.000000,0.000000,3568944151.693968
0.000000,0.000000,3568944151.703969
0.000000,0.000000,3568944151.713969
0.000000,0.000000,3568944151.723969
0.000000,0.000000,3568944151.733970
0.000000,0.000000,3568944151.743971
0.000000,0.000000,3568944151.753970
0.000000,0.000000,3568944151.763970
0.000000,0.000000,3568944151.773968
0.000000,0.000000,3568944151.783970
0.000000,0.000000,3568944151.793972
0.000000,0.000000,3568944151.803972
0.000000,0.000000,3568944151.813972
0.000000,0.000000,3568944151.823972
0.000000,0.000000,3568944151.833972
0.000000,0.000000,3568944151.843973
0.000000,0.000000,3568944151.853973
0.000000,0.000000,3568944151.863974
0.000000,0.000000,3568944151.873972
