Absolute Time,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot,bias_psi,bias_x,bias_y,nu_psi_hat, nu_x_hat, nu_y_hat,tau_d_psi,tau_d_x,tau_d_y,alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2
3574167790.929850,-6.108038,1.457995,0.000000,3.141539,-0.293325,-0.341180,-2.966499,1.164670,-0.341180,0.106640,0.004000,-1.007899,-0.387989,-0.576264,0.904776,-0.117922,-0.133134,7.407555,0.971267,8.041124,-1.510881,-1.510881,0.300000,0.300000,0.000000,13.923162,13.923162
3574167790.939851,-6.102439,1.453928,0.000000,3.141539,-0.293360,-0.341818,-2.960900,1.160569,-0.341818,0.106680,0.004000,-1.010706,-0.386944,-0.573108,0.916701,-0.118093,-0.133147,7.437838,0.965942,8.197779,-1.511451,-1.511451,0.300000,0.300000,0.000000,13.979606,13.979606
3574167790.949845,-6.093200,1.454884,0.000000,3.141539,-0.293394,-0.340289,-2.951661,1.161489,-0.340289,0.106720,0.004000,-1.010706,-0.392222,-0.569509,0.931171,-0.119241,-0.133353,7.475773,0.956953,8.381013,-1.512300,-1.512300,0.300000,0.300000,0.000000,14.050202,14.050202
3574167790.959851,-6.088088,1.450870,0.000000,3.141539,-0.293429,-0.341207,-2.946548,1.157441,-0.341207,0.106760,0.004000,-1.014111,-0.390851,-0.566339,0.942466,-0.119458,-0.133300,7.504344,0.952089,8.532473,-1.512818,-1.512818,0.300000,0.300000,0.000000,14.103474,14.103474
3574167790.969851,-6.078591,1.451816,0.000000,3.141539,-0.293463,-0.339662,-2.937052,1.158353,-0.339662,0.106800,0.004000,-1.014111,-0.396212,-0.562602,0.956854,-0.120653,-0.133479,7.542310,0.942637,8.717190,-1.513680,-1.513680,0.300000,0.300000,0.000000,14.174121,14.174121
3574167790.979852,-6.073955,1.447850,0.000000,3.141539,-0.293498,-0.340848,-2.932416,1.154352,-0.340848,0.106840,0.004000,-1.018100,-0.394519,-0.559430,0.967528,-0.120911,-0.133359,7.569144,0.938250,8.863265,-1.514147,-1.514147,0.300000,0.300000,0.000000,14.224172,14.224172
3574167790.989852,-6.064208,1.448789,0.000000,3.141539,-0.293532,-0.339286,-2.922669,1.155256,-0.339286,0.106880,0.004000,-1.018100,-0.399953,-0.555558,0.981829,-0.122150,-0.133510,7.607115,0.928345,9.049339,-1.515023,-1.515023,0.300000,0.300000,0.000000,14.294823,14.294823
3574167790.999853,-6.060041,1.444872,0.000000,3.141539,-0.293567,-0.340731,-2.918502,1.151305,-0.340731,0.106920,0.004000,-1.022661,-0.397945,-0.552393,0.991890,-0.122445,-0.133325,7.632183,0.924454,9.189826,-1.515438,-1.515438,0.300000,0.300000,0.000000,14.341598,14.341598
3574167791.009851,-6.050051,1.445803,0.000000,3.141539,-0.293601,-0.339154,-2.908512,1.152202,-0.339154,0.106960,0.004000,-1.022661,-0.403444,-0.548390,1.006102,-0.123725,-0.133447,7.670132,0.914106,9.377130,-1.516327,-1.516327,0.300000,0.300000,0.000000,14.412205,14.412205
3574167791.019852,-6.046351,1.441937,0.000000,3.141539,-0.293635,-0.340844,-2.904812,1.148302,-0.340844,0.107000,0.004000,-1.027788,-0.401127,-0.545247,1.015553,-0.124055,-0.133197,7.693396,0.910733,9.511784,-1.516691,-1.516691,0.300000,0.300000,0.000000,14.455631,14.455631
3574167791.029851,-6.036125,1.442863,0.000000,3.141539,-0.293670,-0.339251,-2.894586,1.149194,-0.339251,0.107040,0.004000,-1.027788,-0.406682,-0.541116,1.029673,-0.125373,-0.133289,7.731300,0.899952,9.700193,-1.517592,-1.517592,0.300000,0.300000,0.000000,14.526148,14.526148
3574167791.039854,-6.032887,1.439047,0.000000,3.141539,-0.293704,-0.341172,-2.891347,1.145343,-0.341172,0.107080,0.004000,-1.033470,-0.404061,-0.538008,1.038520,-0.125733,-0.132976,7.752730,0.897112,9.828805,-1.517906,-1.517906,0.300000,0.300000,0.000000,14.566170,14.566170
