Absolute Time,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot,bias_psi,bias_x,bias_y,nu_psi_hat, nu_x_hat, nu_y_hat,tau_d_psi,tau_d_x,tau_d_y,alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2
3574147107.010553,-0.094750,0.539373,-0.681474,0.000000,0.761400,-0.000000,-0.094750,1.300773,-0.681474,0.152280,0.004000,-0.023306,0.448646,-0.178200,-0.029714,0.019927,0.026635,0.057634,-0.256872,0.184459,0.075198,3.079400,0.500000,0.500000,0.000000,0.613822,0.741958
3574147107.020537,-0.095045,0.539397,-0.681228,0.000000,0.761600,-0.000000,-0.095045,1.300997,-0.681228,0.152320,0.004000,-0.023306,0.448699,-0.178067,-0.029412,0.020022,0.026707,0.058172,-0.256715,0.186790,0.075205,3.079254,0.500000,0.500000,0.000000,0.621522,0.749579
3574147107.030553,-0.095896,0.539608,-0.682013,0.000000,0.761800,-0.000000,-0.095896,1.301408,-0.682013,0.152360,0.004000,-0.023751,0.449077,-0.178492,-0.029490,0.020168,0.026666,0.058611,-0.258072,0.186135,0.074903,3.079555,0.500000,0.500000,0.000000,0.621835,0.750571
3574147107.040541,-0.096189,0.539635,-0.681767,0.000000,0.762000,-0.000000,-0.096189,1.301635,-0.681767,0.152400,0.004000,-0.023751,0.449129,-0.178361,-0.029188,0.020262,0.026738,0.059147,-0.257915,0.188469,0.074915,3.079408,0.500000,0.500000,0.000000,0.629530,0.758188
3574147107.050554,-0.097049,0.539873,-0.682524,0.000000,0.762200,-0.000000,-0.097049,1.302073,-0.682524,0.152440,0.004000,-0.024205,0.449528,-0.178757,-0.029275,0.020411,0.026700,0.059580,-0.259317,0.187694,0.074605,3.079722,0.500000,0.500000,0.000000,0.629542,0.758902
3574147107.060540,-0.097340,0.539903,-0.682278,0.000000,0.762400,-0.000000,-0.097340,1.302303,-0.682278,0.152480,0.004000,-0.024205,0.449580,-0.178626,-0.028972,0.020506,0.026772,0.060113,-0.259160,0.190032,0.074623,3.079574,0.500000,0.500000,0.000000,0.637234,0.766514
3574147107.070553,-0.098221,0.540166,-0.683013,0.000000,0.762600,-0.000000,-0.098221,1.302766,-0.683013,0.152520,0.004000,-0.024678,0.449999,-0.178994,-0.029076,0.020658,0.026738,0.060539,-0.260631,0.189055,0.074295,3.079913,0.500000,0.500000,0.000000,0.636748,0.766765
3574147107.080542,-0.098510,0.540198,-0.682767,0.000000,0.762800,-0.000000,-0.098510,1.302998,-0.682767,0.152560,0.004000,-0.024678,0.450050,-0.178864,-0.028774,0.020752,0.026810,0.061070,-0.260473,0.191396,0.074318,3.079763,0.500000,0.500000,0.000000,0.644437,0.774375
3574147107.090552,-0.099417,0.540487,-0.683491,0.000000,0.763000,-0.000000,-0.099417,1.303487,-0.683491,0.152600,0.004000,-0.025172,0.450492,-0.179207,-0.028898,0.020908,0.026778,0.061486,-0.262024,0.190194,0.073970,3.080131,0.500000,0.500000,0.000000,0.643397,0.774111
3574147107.100541,-0.099705,0.540522,-0.683245,0.000000,0.763200,-0.000000,-0.099705,1.303722,-0.683245,0.152640,0.004000,-0.025172,0.450544,-0.179078,-0.028596,0.021001,0.026849,0.062015,-0.261867,0.192539,0.073997,3.079978,0.500000,0.500000,0.000000,0.651085,0.781720
3574147107.110555,-0.100625,0.540835,-0.683964,0.000000,0.763400,-0.000000,-0.100625,1.304235,-0.683964,0.152680,0.004000,-0.025680,0.451006,-0.179409,-0.028731,0.021160,0.026818,0.062427,-0.263473,0.191212,0.073640,3.080360,0.500000,0.500000,0.000000,0.649730,0.781170
3574147107.120539,-0.100911,0.540873,-0.683718,0.000000,0.763600,-0.000000,-0.100911,1.304473,-0.683718,0.152720,0.004000,-0.025680,0.451058,-0.179280,-0.028428,0.021252,0.026890,0.062954,-0.263315,0.193560,0.073673,3.080206,0.500000,0.500000,0.000000,0.657420,0.788780
3574147107.130557,-0.101832,0.541207,-0.684436,0.000000,0.763800,-0.000000,-0.101832,1.305007,-0.684436,0.152760,0.004000,-0.026188,0.451535,-0.179608,-0.028566,0.021414,0.026859,0.063363,-0.264943,0.192214,0.073317,3.080587,0.500000,0.500000,0.000000,0.656006,0.788182
3574147107.140543,-0.102116,0.541248,-0.684191,0.000000,0.764000,-0.000000,-0.102116,1.305248,-0.684191,0.152800,0.004000,-0.026188,0.451586,-0.179479,-0.028262,0.021506,0.026930,0.063889,-0.264785,0.194566,0.073355,3.080431,0.500000,0.500000,0.000000,0.663696,0.795791
3574147107.150544,-0.103044,0.541610,-0.684921,0.000000,0.764200,-0.000000,-0.103044,1.305810,-0.684921,0.152840,0.004000,-0.026704,0.452087,-0.179810,-0.028405,0.021672,0.026898,0.064294,-0.266460,0.193164,0.072997,3.080817,0.500000,0.500000,0.000000,0.662133,0.795068
3574147107.160545,-0.103327,0.541654,-0.684675,0.000000,0.764400,-0.000000,-0.103327,1.306054,-0.684675,0.152880,0.004000,-0.026704,0.452138,-0.179682,-0.028102,0.021764,0.026969,0.064818,-0.266302,0.195520,0.073040,3.080659,0.500000,0.500000,0.000000,0.669823,0.802678
3574147107.170557,-0.103606,0.541699,-0.684429,0.000000,0.764600,-0.000000,-0.103606,1.306299,-0.684429,0.152920,0.004000,-0.026704,0.452188,-0.179556,-0.027799,0.021855,0.027040,0.065338,-0.266145,0.197872,0.073082,3.080503,0.500000,0.500000,0.000000,0.677486,0.810261
3574147107.180543,-0.104537,0.542055,-0.685199,0.000000,0.764800,-0.000000,-0.104537,1.306855,-0.685199,0.152960,0.004000,-0.027226,0.452687,-0.179918,-0.027947,0.022020,0.027003,0.065738,-0.267833,0.196459,0.072733,3.080882,0.500000,0.500000,0.000000,0.675868,0.809488
3574147107.190557,-0.105514,0.542456,-0.685970,0.000000,0.765000,-0.000000,-0.105514,1.307456,-0.685970,0.153000,0.004000,-0.027783,0.453229,-0.180254,-0.028126,0.022192,0.026967,0.066130,-0.269657,0.194709,0.072345,3.081310,0.500000,0.500000,0.000000,0.673440,0.807974
3574147107.200543,-0.105794,0.542505,-0.685725,0.000000,0.765200,-0.000000,-0.105794,1.307705,-0.685725,0.153040,0.004000,-0.027783,0.453279,-0.180127,-0.027823,0.022282,0.027038,0.066651,-0.269498,0.197073,0.072396,3.081148,0.500000,0.500000,0.000000,0.681135,0.815589
3574147107.210559,-0.106780,0.542927,-0.686531,0.000000,0.765400,-0.000000,-0.106780,1.308327,-0.686531,0.153080,0.004000,-0.028349,0.453841,-0.180484,-0.028009,0.022457,0.026998,0.067041,-0.271370,0.195278,0.072005,3.081580,0.500000,0.500000,0.000000,0.678584,0.813976
3574147107.220542,-0.107059,0.542980,-0.686286,0.000000,0.765600,-0.000000,-0.107059,1.308580,-0.686286,0.153120,0.004000,-0.028349,0.453891,-0.180358,-0.027705,0.022546,0.027069,0.067561,-0.271210,0.197647,0.072061,3.081415,0.500000,0.500000,0.000000,0.686285,0.821596
3574147107.230560,-0.108094,0.543476,-0.687173,0.000000,0.765800,-0.000000,-0.108094,1.309276,-0.687173,0.153160,0.004000,-0.028954,0.454527,-0.180749,-0.027925,0.022735,0.027021,0.067940,-0.273273,0.195558,0.071643,3.081888,0.500000,0.500000,0.000000,0.682994,0.819338
3574147107.240545,-0.108372,0.543532,-0.686928,0.000000,0.766000,-0.000000,-0.108372,1.309532,-0.686928,0.153200,0.004000,-0.028954,0.454577,-0.180623,-0.027621,0.022824,0.027091,0.068459,-0.273113,0.197933,0.071703,3.081720,0.500000,0.500000,0.000000,0.690703,0.826966
3574147107.250545,-0.109416,0.544050,-0.687864,0.000000,0.766200,-0.000000,-0.109416,1.310250,-0.687864,0.153240,0.004000,-0.029568,0.455235,-0.181046,-0.027847,0.023017,0.027037,0.068836,-0.275224,0.195820,0.071284,3.082194,0.500000,0.500000,0.000000,0.687338,0.824659
3574147107.260547,-0.109693,0.544109,-0.687620,0.000000,0.766400,-0.000000,-0.109693,1.310509,-0.687620,0.153280,0.004000,-0.029568,0.455285,-0.180920,-0.027543,0.023104,0.027107,0.069355,-0.275063,0.198200,0.071350,3.082023,0.500000,0.500000,0.000000,0.695057,0.832297
3574147107.270557,-0.109967,0.544169,-0.687376,0.000000,0.766600,-0.000000,-0.109967,1.310769,-0.687376,0.153320,0.004000,-0.029568,0.455335,-0.180795,-0.027239,0.023192,0.027178,0.069870,-0.274904,0.200576,0.071415,3.081855,0.500000,0.500000,0.000000,0.702748,0.839907
3574147107.280547,-0.111013,0.544670,-0.688392,0.000000,0.766800,-0.000000,-0.111013,1.311470,-0.688392,0.153360,0.004000,-0.030186,0.455986,-0.181282,-0.027467,0.023382,0.027114,0.070244,-0.277019,0.198515,0.071010,3.082314,0.500000,0.500000,0.000000,0.699485,0.837703
3574147107.290557,-0.111286,0.544733,-0.688148,0.000000,0.767000,-0.000000,-0.111286,1.311733,-0.688148,0.153400,0.004000,-0.030186,0.456035,-0.181157,-0.027163,0.023469,0.027184,0.070759,-0.276859,0.200897,0.071080,3.082143,0.500000,0.500000,0.000000,0.707185,0.845322
3574147107.300547,-0.112361,0.545247,-0.689226,0.000000,0.767200,-0.000000,-0.112361,1.312447,-0.689226,0.153440,0.004000,-0.030828,0.456705,-0.181677,-0.027411,0.023662,0.027113,0.071128,-0.279054,0.198685,0.070660,3.082621,0.500000,0.500000,0.000000,0.703546,0.842782
3574147107.310561,-0.113464,0.545797,-0.690344,0.000000,0.767400,-0.000000,-0.113464,1.313197,-0.690344,0.153480,0.004000,-0.031490,0.457412,-0.182211,-0.027676,0.023860,0.027039,0.071495,-0.281346,0.196321,0.070219,3.083125,0.500000,0.500000,0.000000,0.699540,0.839924
3574147107.320543,-0.113739,0.545865,-0.690102,0.000000,0.767600,-0.000000,-0.113739,1.313465,-0.690102,0.153520,0.004000,-0.031490,0.457462,-0.182085,-0.027371,0.023945,0.027108,0.072013,-0.281182,0.198720,0.070297,3.082946,0.500000,0.500000,0.000000,0.707295,0.847597
3574147107.330561,-0.114845,0.546420,-0.691297,0.000000,0.767800,-0.000000,-0.114845,1.314220,-0.691297,0.153560,0.004000,-0.032154,0.458181,-0.182676,-0.027636,0.024145,0.027025,0.072381,-0.283495,0.196423,0.069865,3.083440,0.500000,0.500000,0.000000,0.703437,0.844896
3574147107.340548,-0.115120,0.546492,-0.691055,0.000000,0.768000,-0.000000,-0.115120,1.314492,-0.691055,0.153600,0.004000,-0.032154,0.458231,-0.182550,-0.027330,0.024229,0.027094,0.072899,-0.283330,0.198828,0.069948,3.083258,0.500000,0.500000,0.000000,0.711206,0.852582
3574147107.350562,-0.116225,0.547057,-0.692324,0.000000,0.768200,-0.000000,-0.116225,1.315257,-0.692324,0.153640,0.004000,-0.032818,0.458964,-0.183197,-0.027593,0.024431,0.027001,0.073269,-0.285663,0.196612,0.069527,3.083738,0.500000,0.500000,0.000000,0.707530,0.850074
3574147107.360548,-0.116499,0.547131,-0.692084,0.000000,0.768400,-0.000000,-0.116499,1.315531,-0.692084,0.153680,0.004000,-0.032818,0.459014,-0.183071,-0.027287,0.024514,0.027070,0.073787,-0.285497,0.199025,0.069615,3.083554,0.500000,0.500000,0.000000,0.715314,0.857774
3574147107.370563,-0.117613,0.547693,-0.693430,0.000000,0.768600,-0.000000,-0.117613,1.316293,-0.693430,0.153720,0.004000,-0.033490,0.459752,-0.183773,-0.027554,0.024716,0.026968,0.074157,-0.287855,0.196828,0.069198,3.084030,0.500000,0.500000,0.000000,0.711672,0.855313
3574147107.380548,-0.117887,0.547770,-0.693191,0.000000,0.768800,-0.000000,-0.117887,1.316570,-0.693191,0.153760,0.004000,-0.033490,0.459803,-0.183647,-0.027248,0.024798,0.027037,0.074675,-0.287688,0.199247,0.069289,3.083843,0.500000,0.500000,0.000000,0.719471,0.863028
