Absolute Time,z1_psi,z1_x,z1_y,eta_d_PSI,eta_d_X,eta_d_Y,eta_hat_psi,eta_hat_x,eta_hat_y,s,s_dot,bias_psi,bias_x,bias_y,nu_psi_hat, nu_x_hat, nu_y_hat,tau_d_psi,tau_d_x,tau_d_y,alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2
3574153299.329163,0.363421,0.961677,-0.187037,0.000000,0.220000,-0.000000,0.363421,1.181677,-0.187037,0.044000,0.000000,0.184581,0.458104,-0.315150,0.015336,0.033464,-0.005727,-0.203387,-0.638299,0.505699,-0.009688,-3.131662,0.300000,0.300000,0.000000,1.000000,1.000000
3574153299.339163,0.363574,0.962009,-0.186972,0.000000,0.220000,-0.000000,0.363574,1.182009,-0.186972,0.044000,0.000000,0.184581,0.458056,-0.315220,0.015159,0.033343,-0.005692,-0.203689,-0.638500,0.503687,-0.009647,-3.131704,0.300000,0.300000,0.000000,1.000000,1.000000
3574153299.349164,0.364251,0.963907,-0.186921,0.000000,0.220000,-0.000000,0.364251,1.183907,-0.186921,0.044000,0.000000,0.185001,0.459008,-0.315987,0.015378,0.033481,-0.005735,-0.203845,-0.639351,0.507157,-0.009720,-3.131629,0.300000,0.300000,0.000000,1.000000,1.000000
3574153299.359162,0.364404,0.964240,-0.186856,0.000000,0.220000,-0.000000,0.364404,1.184240,-0.186856,0.044000,0.000000,0.185001,0.458960,-0.316057,0.015200,0.033360,-0.005700,-0.204148,-0.639553,0.505139,-0.009679,-3.131671,0.300000,0.300000,0.000000,1.000000,1.000000
3574153299.369164,0.365085,0.966137,-0.186804,0.000000,0.220000,-0.000000,0.365085,1.186137,-0.186804,0.044000,0.000000,0.185424,0.459910,-0.316828,0.015421,0.033499,-0.005742,-0.204304,-0.640396,0.508639,-0.009752,-3.131595,0.300000,0.300000,0.000000,1.000000,1.000000
3574153299.379163,0.365239,0.966470,-0.186738,0.000000,0.220000,-0.000000,0.365239,1.186470,-0.186738,0.044000,0.000000,0.185424,0.459861,-0.316898,0.015244,0.033377,-0.005707,-0.204608,-0.640599,0.506614,-0.009711,-3.131637,0.300000,0.300000,0.000000,1.000000,1.000000
3574153299.389164,0.365918,0.968366,-0.186687,0.000000,0.220000,-0.000000,0.365918,1.188366,-0.186687,0.044000,0.000000,0.185844,0.460809,-0.317669,0.015463,0.033515,-0.005750,-0.204766,-0.641442,0.510092,-0.009784,-3.131562,0.300000,0.300000,0.000000,1.000000,1.000000
3574153299.399163,0.366072,0.968699,-0.186621,0.000000,0.220000,-0.000000,0.366072,1.188699,-0.186621,0.044000,0.000000,0.185844,0.460760,-0.317740,0.015284,0.033393,-0.005714,-0.205070,-0.641646,0.508060,-0.009742,-3.131605,0.300000,0.300000,0.000000,1.000000,1.000000
3574153299.409165,0.366749,0.970588,-0.186572,0.000000,0.220000,-0.000000,0.366749,1.190588,-0.186572,0.044000,0.000000,0.186263,0.461702,-0.318512,0.015501,0.033530,-0.005757,-0.205229,-0.642484,0.511515,-0.009815,-3.131530,0.300000,0.300000,0.000000,1.000000,1.000000
3574153299.419164,0.366903,0.970921,-0.186506,0.000000,0.220000,-0.000000,0.366903,1.190921,-0.186506,0.044000,0.000000,0.186263,0.461653,-0.318583,0.015322,0.033408,-0.005721,-0.205534,-0.642689,0.509476,-0.009773,-3.131572,0.300000,0.300000,0.000000,1.000000,1.000000
3574153299.429165,0.367587,0.972819,-0.186453,0.000000,0.220000,-0.000000,0.367587,1.192819,-0.186453,0.044000,0.000000,0.186687,0.462599,-0.319359,0.015543,0.033546,-0.005764,-0.205692,-0.643525,0.512988,-0.009847,-3.131496,0.300000,0.300000,0.000000,1.000000,1.000000
